         138206233 function calls (137099009 primitive calls) in 2668.676 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
   142848    0.305    0.000    0.333    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_parameter_classes.py:51(__init__)
6590727/6509638    0.301    0.000    0.317    0.000 {built-in method builtins.len}
  3121643    0.288    0.000    0.288    0.000 {method 'update' of 'dict' objects}
  2627328    0.272    0.000    0.648    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_pycplex.py:2940(__getitem__)
  1293312    0.267    0.000    0.359    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_aux_functions.py:91(<listcomp>)
     6144    0.265    0.000    8.662    0.001 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\csc.py:133(tocsr)
    75264    0.252    0.000    0.733    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\sputils.py:131(get_index_dtype)
   765499    0.251    0.000    0.251    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\networkx\convert_matrix.py:1368(<genexpr>)
   150618    0.230    0.000    0.230    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\numpy\core\getlimits.py:514(__init__)
    10530    0.220    0.000    0.576    0.000 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\network_gym\envs\model_network.py:377(reset_nodes)
      768    0.218    0.000    0.221    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\atoms\affine\binary_operators.py:108(numeric)
    21060    0.209    0.000    0.556    0.000 c:\Users\richa\My Drive\York\PhD Research\Systemic Risk\Reducing-Systemic-Risk-with-DDPG\network_gym\envs\model_network.py:434(<listcomp>)
76646/1293    0.190    0.000    0.929    0.001 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\ast.py:320(generic_visit)
1117158/1116458    0.186    0.000    0.195    0.000 {built-in method builtins.getattr}
     4608    0.182    0.000    0.182    0.000 {built-in method cplex._internal.py37_cplex2010.double_list_to_C_array}
210432/52992    0.175    0.000    0.785    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\utilities\performance_utils.py:63(_compute_once)
    26880    0.173    0.000    0.648    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\scipy\sparse\compressed.py:136(check_format)
746410/743680    0.169    0.000    0.208    0.000 {built-in method builtins.hasattr}
    27611    0.142    0.000    0.259    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_ostream.py:98(_write_wrap)
   210432    0.134    0.000    0.163    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cvxpy\utilities\performance_utils.py:44(_cache_key)
      768    0.133    0.000    0.133    0.000 {built-in method cplex._internal.py37_cplex2010.CPXXcloseCPLEX}
  1293312    0.129    0.000    0.129    0.000 C:\Users\richa\anaconda3\envs\main-ddpg-tf27\lib\site-packages\cplex-20.1.0.0-py3.7.egg\cplex\_internal\_aux_functions.py:93(<listcomp>)
